DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,AT,2017,36983,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,AT,2018,38392,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,AT,2019,39493,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,AT,2020,37255,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BE,2017,35071,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BE,2018,36060,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BE,2019,37385,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BE,2020,36003,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BG,2017,14459,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BG,2018,15154,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BG,2019,16243,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,BG,2020,16139,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CY,2017,25604,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CY,2018,26609,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CY,2019,27528,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CY,2020,24861,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CZ,2017,25246,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CZ,2018,26463,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CZ,2019,27475,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,CZ,2020,26892,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DE,2017,37414,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DE,2018,38794,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DE,2019,39188,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DE,2020,37756,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DK,2017,39099,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DK,2018,40333,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DK,2019,41328,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,DK,2020,41852,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EE,2017,22759,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EE,2018,24201,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EE,2019,25384,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EE,2020,24991,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EL,2017,19609,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EL,2018,19931,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EL,2019,20524,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,EL,2020,18608,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,ES,2017,27279,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,ES,2018,27773,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,ES,2019,28528,
ESTAT:NAMA_10_PP$DEFAULTVIEW(1.0),15/12/21 23:00:00,A,CP_PPS_EU27_2020_HAB,ES,2020,25442,
