DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1960,850,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1961,1314,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1962,1236,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1963,1046,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1964,1104,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1965,1028,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1966,1217,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1967,1415,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1968,1773,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1969,1608,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1970,1625,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1971,1758,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1972,1718,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1973,1791,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1974,1934,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1975,1853,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1976,1900,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1977,2003,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1978,1836,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1979,1849,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1980,2024,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1981,2222,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1982,2206,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1983,2371,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1984,2335,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1985,2381,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1986,2383,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1987,2537,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1988,2597,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1989,2628,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1990,2675,
ESTAT:DEMO_NDIVIND(1.0),16/05/22 11:00:00,A,DIV,AL,1991,2236,
